Player,Test career,Tests,Catches,Stumpings,Total dismissals
Chris Read,1999–2007,15,48,6,54
James Foster,2001–2002,7,17,1,18
Geraint Jones,2004–2006,34,128,5,133
Matt Prior,2007–2014,79,243,13,256
Tim Ambrose,2008–2009,11,31,0,31
Jonny Bairstow[M],2013–2019,48,169,12,181
Jos Buttler[N],2014–present,30,100,1,101
Ben Foakes,2018–present,8,14,5,19
Ollie Pope[O],2019,1,1,0,1
Jack Blackham,1877–1894,32,35,24,59
Billy Murdoch,1882,1,2,0,2
Affie Jarvis,1885–1895,9,8,9,17
Frederick Burton,1887,1,0,1,1
Jim Kelly,1896–1905,36,43,20,63
Sammy Carter,1907–1921,28,44,21,65
Barlow Carkeek,1912,6,6,0,6
Bert Oldfield,1920–1937,54,78,52,130
Hammy Love,1932–1933,1,3,0,3
Ben Barnett,1938,4,3,2,5
Don Tallon,1946–1953,21,50,8,58
Ron Saggers,1948–1950,6,16,8,24
Gil Langley,1951–1956,26,83,15,98
Len Maddocks,1955–1956,7,19,1,20
Wally Grout,1957–1966,51,163,24,187
Barry Jarman,1959–1969,19,50,4,54
Brian Taber,1966–1970,16,56,4,60
Rod Marsh,1970–1984,96,343,12,355
Steve Rixon,1977–1985,13,42,5,47
John Maclean,1978–1979,4,18,0,18
Kevin Wright,1978–1980,10,31,4,35
Roger Woolley,1983–1984,2,7,0,7
Wayne B. Phillips,1984–1986,18,43,0,43
Tim Zoehrer,1985–1987,10,18,1,19
Greg Dyer,1986–1988,6,22,2,24
Ian Healy,1988–1999,119,366,29,395
Phil Emery,1994,1,5,1,6
Adam Gilchrist,1999–2008,96,379,37,416
Brad Haddin,2008–2015,66,262,10,270
Graham Manou,2009,1,3,0,3
Tim Paine,2010–present,35,150,7,157
Matthew Wade,2012–2017,22,63,11,74
Peter Nevill,2015–2016,17,61,2,63
Fred Smith,1889,2,2,0,2
Ernest Halliwell,1892–1902,8,10,2,12
Murray Bisset,1899–1910,2,2,1,3
Percy Sherwell,1906–1911,13,20,16,36
Tom Campbell,1910–1912,5,7,1,8
Tommy Ward,1912–1924,23,19,13,32
Jock Cameron,1927–1935,26,39,12,51
Edward van der Merwe,1929–1936,2,3,0,3
Frank Nicholson,1935–1936,4,3,0,3
Billy Wade,1938–1950,11,15,2,17
Ronnie Grieveson,1939,2,7,3,10
Johnny Lindsay,1947,3,4,1,5
George Fullerton,1947–1950,4,6,2,8
John Waite,1951–1965,49,124,17,141
